LOSS,ACCURACY
1.0684227,0.5
1.0240662,0.5
1.100915,0.4375
0.96939766,0.46875
1.0343193,0.46875
1.0405275,0.47916666
1.0273075,0.48660713
0.9866632,0.49609375
1.0489397,0.48958334
1.0797858,0.48125
1.0362694,0.48863637
1.0412451,0.48697916
1.0569577,0.48317307
1.0503733,0.48660713
0.99801594,0.49583334
1.0367723,0.49609375
1.077561,0.48897058
0.98239315,0.48958334
1.019505,0.4901316
1.0423634,0.49375
1.074472,0.49255952
0.992994,0.49857953
0.98547816,0.5
1.0612007,0.5
1.0471084,0.5
0.97079146,0.5
1.0379825,0.5
1.0144963,0.50334823
1.0323471,0.5021552
1.072974,0.503125
1.1335425,0.49798387
1.000143,0.49902344
1.0029857,0.50189394
0.9575302,0.50735295
0.96507496,0.50714284
1.102559,0.5034722
0.9472788,0.5067568
0.9776009,0.5082237
0.9255407,0.5120192
0.9875513,0.5125
1.0131764,0.5152439
1.0029283,0.51636904
1.052137,0.51526165
1.0753226,0.51420456
1.0239382,0.5138889
1.0177102,0.5149456
1.0255454,0.5152925
0.93471,0.51692706
1.0826141,0.5153061
1.0200206,0.51625
1.0404882,0.5147059
0.97475773,0.51622593
0.96598816,0.5170991
1.0135933,0.5162037
1.0684682,0.51704544
1.0167791,0.5172991
1.0194539,0.51644737
1.001473,0.5167026
1.0063751,0.5164195
0.9061795,0.5182292
1.02931,0.5179303
1.0169696,0.5176411
0.9272796,0.5193452
0.95513475,0.5214844
1.0206233,0.52163464
0.9380459,0.52414775
1.058326,0.5233209
0.90282434,0.5261949
0.9457588,0.5276268
1.1185068,0.5263393
1.08912,0.5242078
1.0399005,0.5243056
1.0544523,0.5231164
0.99265444,0.5240709
1.1136367,0.5229167
1.0087904,0.5234375
0.9671704,0.52435064
0.9749511,0.52483976
0.9356939,0.5261076
0.9492772,0.5277344
0.9427814,0.5277778
1.0710233,0.527439
1.0731945,0.5267319
1.0015688,0.5264137
0.9618043,0.5272059
0.9422443,0.528343
1.0639894,0.5280172
0.9665642,0.5291193
0.92556506,0.53054774
0.97645885,0.53125
1.0131783,0.5305632
0.9267278,0.53125
1.0071611,0.53091395
0.987548,0.5315825
1.0846707,0.53092104
1.1380546,0.5289714
0.99280477,0.52899486
0.99431,0.52933675
0.97996956,0.52935606
1.0957122,0.5284375
